Score,Season,Players,Score,P1,P2,P1 Wins,P2 Wins,Tier
,,,,,,,,
,42,,,Mic Qsenoch,E.Honda,2,4,A1
,42,,,tracer,E.Honda,2.5,3.5,A1
,42,,,RTT,crabcat2,4,2,A1
,42,,,Mic Qsenoch,Sicomatic,4,2,A1
,42,,,tracer,crabcat2,3.5,2.5,A1
,42,,,Sicomatic,xyrix,3,3,A1
,42,,,tracer,Mic Qsenoch,4,2,A1
,42,,,RTT,xyrix,5,1,A1
,42,,,E.Honda,crabcat2,4,2,A1
,42,,,Sicomatic,RTT,3,3,A1
,42,,,xyrix,crabcat2,4,2,A1
,42,,,E.Honda,xyrix,2.5,3.5,A1
,42,,,Sicomatic,crabcat2,3,3,A1
,42,,,tracer,RTT,3,3,A1
,42,,,RTT,E.Honda,3,3,A1
,42,,,Mic Qsenoch,crabcat2,4,2,A1
,42,,,tracer,xyrix,5,1,A1
,42,,,xyrix,Mic Qsenoch,3.5,2.5,A1
,42,,,tracer,Sicomatic,4,2,A1
,42,,,E.Honda,Sicomatic,3,3,A1
,42,,,Mic Qsenoch,RTT,4,2,A1
,42,,,bobbydj18,singletee,3,3,B1
,42,,,bobbydj18,swordfishtrombone,4,2,B1
,42,,,nasmith99,bobbydj18,4,2,B1
,42,,,wharf_rat,swordfishtrombone,3,3,B1
,42,,,Seprix,bobbydj18,6,0,B1
,42,,,nasmith99,swordfishtrombone,5,1,B1
,42,,,Seprix,wharf_rat,4,2,B1
,42,,,wharf_rat,bobbydj18,4,2,B1
,42,,,wharf_rat,singletee,5,1,B1
,42,,,nasmith99,Seprix,3.5,2.5,B1
,42,,,nasmith99,wharf_rat,4,2,B1
,42,,,Seprix,swordfishtrombone,3,3,B1
,42,,,Seprix,singletee,4,2,B1
,42,,,singletee,swordfishtrombone,3,3,B1
,42,,,nasmith99,singletee,4.5,1.5,B1
,42,,,markus,drsteelhammer,1,5,B2
,42,,,Apostolosoruler,markus,5,1,B2
,42,,,Apostolosoruler,Burning Skull,3,3,B2
