Name,User #,Discord,Time Zone,TZ#,Tier,Zone,Division
E.Honda,4687,@E.Honda#6461,Europe/Berlin,2:00,A,N/A,A1
JNails,6787,@JNails#0581,America/Chicago,-5:00,A,N/A,A1
Mic Qsenoch,942,@Mic Qsenoch#4131,America/Chicago,-5:00,A,N/A,A1
nasmith99,6240,@nasmith99#5472,America/Chicago,-5:00,A,N/A,A1
wharf_rat,5346,@wharf_rat#8971,America/Chicago,-5:00,A,N/A,A1
xyrix,521,@yugret#3812,Europe/Berlin,2:00,A,N/A,A1
707090,6430,@707090#0963,America/New_York,-4:00,B,N/A,B1
Apostolosoruler,6090,@apostolosgr#4103,Europe/Athens,3:00,B,N/A,B2
Bryan,5322,@Bryan#4673,America/Los_Angeles,-7:00,B,N/A,B1
Burning Skull,2519,@bSkull#2438,Asia/Singapore,8:00,B,N/A,B2
drsteelhammer,,@drsteelhammer#4394,Europe/Berlin,2:00,B,N/A,B1
H.exe,2847,@H.exe#3232,America/New_York,-4:00,B,N/A,B2
markus,3966,@markus#8857,Europe/Berlin,2:00,B,N/A,B1
nerdbound,6914,@nerdbound#0589,America/Los_Angeles,-7:00,B,N/A,B1
SamE,725,@SamE#8793,Asia/Singapore,8:00,B,N/A,B1
Sicomatic,5470,@Sicomatic#3580,Europe/Berlin,2:00,B,N/A,B2
singletee,1739,@singletee#0905,America/New_York,-4:00,B,N/A,B2
swordfishtrombone,5916,@swordfishtrombone#1858,Europe/Athens,3:00,B,N/A,B2
tracer,4770,@tracer#2575,America/Godthab,-2:00,B,N/A,B1
aku chi,3425,@aku chi#6464,America/New_York,-4:00,C,N/A,C4
amoffett11,4784,@amoffett11#8778,America/New_York,-4:00,C,N/A,C4
bluey_the_bear,,@Bluey The Bear#1472,America/Chicago,-5:00,C,N/A,C1
bobbydj18,5587,@bobbydj18#2146,America/New_York,-4:00,C,N/A,C3
catoftheyear,6881,@conjugate#3677,Asia/Jerusalem,3:00,C,N/A,C3
