Player,S#,Division,Tier,Position,Win %
tracer,42,A1,A,1,0.61
E.Honda,42,A1,A,2,0.56
RTT,42,A1,A,3,0.56
Mic Qsenoch,42,A1,A,4,0.51
Sicomatic,42,A1,A,5,0.44
xyrix,42,A1,A,6,0.44
crabcat2,42,A1,A,7,0.38
nasmith99,42,B1,B,1,0.7
Seprix,42,B1,B,2,0.65
wharf_rat,42,B1,B,3,0.53
swordfishtrombone,42,B1,B,4,0.4
bobbydj18,42,B1,B,5,0.37
singletee,42,B1,B,6,0.35
drsteelhammer,42,B2,B,1,0.75
Apostolosoruler,42,B2,B,2,0.58
Burning Skull,42,B2,B,3,0.46
nerdbound,42,B2,B,4,0.42
markus,42,B2,B,5,0.29
JNails,42,C1,C,1,0.6
pppppppppp,42,C1,C,2,0.5
pqr4,42,C1,C,3,0.5
aku chi,42,C1,C,4,0.5
Earl,42,C1,C,5,0.47
topher1588,42,C1,C,6,0.43
hakha3,42,C2,C,1,0.67
catoftheyear,42,C2,C,2,0.6
SimonWyeJR,42,C2,C,3,0.57
Cave-o-sapien,42,C2,C,4,0.47
tufftaeh,42,C2,C,5,0.37
schadd,42,C2,C,6,0.33
SamE,42,C3,C,1,0.75
Fircoal,42,C3,C,2,0.53
mikechike,42,C3,C,3,0.48
SearingSpear92,42,C3,C,4,0.47
Personman,42,C3,C,5,0.42
skumpy,42,C3,C,6,0.35
jonts,42,C4,C,1,0.58
amoffett11,42,C4,C,2,0.53
recycle_garbage,42,C4,C,3,0.52
Bryan,42,C4,C,4,0.5
Gazbag,42,C4,C,5,0.47
Jean-Michel,42,C4,C,6,0.4
Card Master,42,D1,D,1,0.67
terracubist,42,D1,D,2,0.57
sab4005,42,D1,D,3,0.55
dghunter79,42,D1,D,4,0.45
Sharur,42,D1,D,5,0.4
Appie459,42,D1,D,6,0.37
seanahan,42,D2,D,1,0.6
Lemonspawn,42,D2,D,2,0.52
ced,42,D2,D,3,0.52
rsilverstein12,42,D2,D,4,0.5
Jerrydot,42,D2,D,5,0.47
schaefersbetty,42,D2,D,6,0.4
eh1414,42,D3,D,1,0.7
nottoobad,42,D3,D,2,0.57
elia,42,D3,D,3,0.57
lrlusher,42,D3,D,4,0.53
catstealer419,42,D3,D,5,0.47
skizelo,42,D3,D,6,0.17
gamesou,42,D4,D,1,0.7
Paul Christiano,42,D4,D,2,0.6
nessuno,42,D4,D,3,0.5
tmoon33,42,D4,D,4,0.47
